Data,15,record,timestamp,"920214186",s,position_lat,"617209120",semicircles,position_long,"-14812352",semicircles,distance,"102.2",m,speed,"5.349",m/s,unknown,"823",,unknown,"300",,heart_rate,"43",bpm,cadence,"39",rpm,fractional_cadence,"0.0",rpm,enhanced_speed,"5.349|5.349|5.349",m/s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,15,record,timestamp,"920214187",s,position_lat,"617209630",semicircles,position_long,"-14812636",semicircles,distance,"107.24",m,speed,"5.336",m/s,unknown,"821",,unknown,"300",,heart_rate,"43",bpm,cadence,"39",rpm,fractional_cadence,"0.0",rpm,enhanced_speed,"5.336|5.336|5.336",m/s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,15,record,timestamp,"920214188",s,position_lat,"617210138",semicircles,position_long,"-14812938",semicircles,distance,"112.28",m,speed,"5.318",m/s,unknown,"840",,unknown,"300",,heart_rate,"43",bpm,cadence,"38",rpm,fractional_cadence,"0.0",rpm,enhanced_speed,"5.318|5.318|5.318",m/s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,15,record,timestamp,"920214189",s,position_lat,"617210668",semicircles,position_long,"-14813258",semicircles,distance,"117.57",m,speed,"5.301",m/s,unknown,"795",,unknown,"300",,heart_rate,"44",bpm,cadence,"40",rpm,fractional_cadence,"0.0",rpm,enhanced_speed,"5.301|5.301|5.301",m/s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,15,record,timestamp,"920214190",s,position_lat,"617211198",semicircles,position_long,"-14813599",semicircles,distance,"122.89",m,speed,"5.289",m/s,unknown,"793",,unknown,"300",,heart_rate,"44",bpm,cadence,"40",rpm,fractional_cadence,"0.0",rpm,enhanced_speed,"5.289|5.289|5.289",m/s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,15,record,timestamp,"920214191",s,position_lat,"617211733",semicircles,position_long,"-14813903",semicircles,distance,"128.18",m,speed,"5.28",m/s,unknown,"834",,unknown,"300",,heart_rate,"44",bpm,cadence,"38",rpm,fractional_cadence,"0.0",rpm,enhanced_speed,"5.28|5.28|5.28",m/s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,15,record,timestamp,"920214192",s,position_lat,"617212273",semicircles,position_long,"-14814205",semicircles,distance,"133.5",m,speed,"5.26",m/s,unknown,"831",,unknown,"300",,heart_rate,"46",bpm,cadence,"38",rpm,fractional_cadence,"0.0",rpm,enhanced_speed,"5.26|5.26|5.26",m/s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,15,record,timestamp,"920214193",s,position_lat,"617212809",semicircles,position_long,"-14814488",semicircles,distance,"138.76",m,speed,"5.244",m/s,unknown,"828",,unknown,"300",,heart_rate,"46",bpm,cadence,"38",rpm,fractional_cadence,"0.0",rpm,enhanced_speed,"5.244|5.244|5.244",m/s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,15,record,timestamp,"920214194",s,position_lat,"617213341",semicircles,position_long,"-14814751",semicircles,distance,"143.95",m,speed,"5.235",m/s,unknown,"785",,unknown,"300",,heart_rate,"49",bpm,cadence,"40",rpm,fractional_cadence,"0.0",rpm,enhanced_speed,"5.235|5.235|5.235",m/s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,15,record,timestamp,"920214195",s,position_lat,"617213893",semicircles,position_long,"-14815018",semicircles,distance,"149.33",m,speed,"5.244",m/s,unknown,"767",,unknown,"300",,heart_rate,"50",bpm,cadence,"41",rpm,fractional_cadence,"0.0",rpm,enhanced_speed,"5.244|5.244|5.244",m/s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,15,record,timestamp,"920214196",s,position_lat,"617214456",semicircles,position_long,"-14815268",semicircles,distance,"154.78",m,speed,"5.258",m/s,unknown,"769",,unknown,"300",,heart_rate,"52",bpm,cadence,"41",rpm,fractional_cadence,"0.0",rpm,enhanced_speed,"5.258|5.258|5.258",m/s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,15,record,timestamp,"920214197",s,position_lat,"617215038",semicircles,position_long,"-14815509",semicircles,distance,"160.37",m,speed,"5.291",m/s,unknown,"835",,unknown,"300",,heart_rate,"54",bpm,cadence,"38",rpm,fractional_cadence,"0.0",rpm,enhanced_speed,"5.291|5.291|5.291",m/s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,15,record,timestamp,"920214198",s,position_lat,"617215625",semicircles,position_long,"-14815734",semicircles,distance,"166.0",m,speed,"5.318",m/s,unknown,"840",,unknown,"300",,heart_rate,"58",bpm,cadence,"38",rpm,fractional_cadence,"0.0",rpm,enhanced_speed,"5.318|5.318|5.318",m/s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,15,record,timestamp,"920214199",s,position_lat,"617216207",semicircles,position_long,"-14815940",semicircles,distance,"171.56",m,speed,"5.361",m/s,unknown,"825",,unknown,"300",,heart_rate,"58",bpm,cadence,"39",rpm,fractional_cadence,"0.0",rpm,enhanced_speed,"5.361|5.361|5.361",m/s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,15,record,timestamp,"920214200",s,position_lat,"617216775",semicircles,position_long,"-14816153",semicircles,distance,"176.99",m,speed,"5.394",m/s,unknown,"809",,unknown,"300",,heart_rate,"58",bpm,cadence,"40",rpm,fractional_cadence,"0.0",rpm,enhanced_speed,"5.394|5.394|5.394",m/s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
