Data,0,record,timestamp,"920300764",s,position_lat,"617211672",semicircles,position_long,"-14814334",semicircles,distance,"120.0",m,speed,"5.346",m/s,unknown,"802",,unknown,"100",,heart_rate,"95",bpm,cadence,"40",rpm,fractional_cadence,"0.0",rpm,enhanced_speed,"5.346|5.346|5.346",m/s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,0,record,timestamp,"920300765",s,position_lat,"617212227",semicircles,position_long,"-14814581",semicircles,distance,"125.36",m,speed,"5.35",m/s,unknown,"917",,unknown,"100",,heart_rate,"93",bpm,cadence,"35",rpm,fractional_cadence,"0.0",rpm,enhanced_speed,"5.35|5.35|5.35",m/s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,0,record,timestamp,"920300766",s,position_lat,"617212763",semicircles,position_long,"-14814799",semicircles,distance,"130.52",m,speed,"5.348",m/s,unknown,"917",,unknown,"100",,heart_rate,"93",bpm,cadence,"35",rpm,fractional_cadence,"0.0",rpm,enhanced_speed,"5.348|5.348|5.348",m/s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,0,record,timestamp,"920300767",s,position_lat,"617213321",semicircles,position_long,"-14814999",semicircles,distance,"135.85",m,speed,"5.351",m/s,unknown,"917",,unknown,"100",,heart_rate,"93",bpm,cadence,"35",rpm,fractional_cadence,"0.0",rpm,enhanced_speed,"5.351|5.351|5.351",m/s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,0,record,timestamp,"920300768",s,position_lat,"617213900",semicircles,position_long,"-14815211",semicircles,distance,"141.38",m,speed,"5.371",m/s,unknown,"948",,unknown,"100",,heart_rate,"95",bpm,cadence,"34",rpm,fractional_cadence,"0.0",rpm,enhanced_speed,"5.371|5.371|5.371",m/s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,0,record,timestamp,"920300769",s,position_lat,"617214452",semicircles,position_long,"-14815409",semicircles,distance,"146.67",m,speed,"5.373",m/s,unknown,"948",,unknown,"100",,heart_rate,"97",bpm,cadence,"34",rpm,fractional_cadence,"0.0",rpm,enhanced_speed,"5.373|5.373|5.373",m/s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,0,record,timestamp,"920300770",s,position_lat,"617215007",semicircles,position_long,"-14815622",semicircles,distance,"151.98",m,speed,"5.371",m/s,unknown,"1007",,unknown,"100",,heart_rate,"98",bpm,cadence,"32",rpm,fractional_cadence,"0.0",rpm,enhanced_speed,"5.371|5.371|5.371",m/s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,0,record,timestamp,"920300771",s,position_lat,"617215589",semicircles,position_long,"-14815807",semicircles,distance,"157.51",m,speed,"5.376",m/s,unknown,"1008",,unknown,"100",,heart_rate,"98",bpm,cadence,"32",rpm,fractional_cadence,"0.0",rpm,enhanced_speed,"5.376|5.376|5.376",m/s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,0,record,timestamp,"920300772",s,position_lat,"617216155",semicircles,position_long,"-14815973",semicircles,distance,"162.88",m,speed,"5.371",m/s,unknown,"826",,unknown,"100",,heart_rate,"99",bpm,cadence,"39",rpm,fractional_cadence,"0.0",rpm,enhanced_speed,"5.371|5.371|5.371",m/s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,0,record,timestamp,"920300773",s,position_lat,"617216737",semicircles,position_long,"-14816167",semicircles,distance,"168.42",m,speed,"5.382",m/s,unknown,"828",,unknown,"100",,heart_rate,"101",bpm,cadence,"39",rpm,fractional_cadence,"0.0",rpm,enhanced_speed,"5.382|5.382|5.382",m/s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
